Archivo,Tag,Latitud,Longitud,Fecha
6D77AAA8-A439-4396-A716-C449AD06E6BF.heic,GPS Coordinates,41.12287222222222,1.1560638888888888,2023:01:14 02:57:59+01:00
6D94BF92-260D-4532-85FE-0EC5EA8F5258_1_105_c.jpeg,GPS Coordinates,42.0246,2.4651111111111113,2023:07:01 11:45:14
8FBE812C-32F0-4109-A782-68F4E581AF35_1_105_c.jpeg,GPS Coordinates,42.519525,-8.813430555555556,2021:06:23 14:28:13
2FA5C6E5-5778-4EF4-9C09-08440DB5B838_1_105_c.jpeg,GPS Coordinates,42.13059166666667,3.118375,2021:04:04 16:45:35
21CD1580-4387-4C95-8CFC-004B93FE01D6_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
06B646C0-ACAD-4FC3-AED5-2DA81BF6AF62_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
8A6AB53A-EB27-46D5-86E7-3A94DDE818BB_1_105_c.jpeg,GPS Coordinates,42.45506944444445,-8.923047222222221,2021:06:24 14:58:44
17C2DA6F-6F5D-48F2-B1C1-D1B563C4187D_1_105_c.jpeg,GPS Coordinates,42.28668333333333,-8.144599999999999,2021:06:21 11:26:22
9FC08337-C1DB-4BAB-858C-F7CDFC770E2D_1_105_c.jpeg,GPS Coordinates,41.357822222222225,2.101113888888889,2021:12:27 15:01:42
1CA5A0CF-D438-4CCD-AF29-3E8073A28D94_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
23CFB6B3-92EE-4F39-896A-DB0130C42DEF_1_102_o.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
3DB8D99E-19A3-463E-9A72-F8F4F10C2D3C_1_105_c.jpeg,GPS Coordinates,40.45097222222223,-2.2381166666666665,2020:10:10 21:59:19
26FFFDB0-9895-469C-86F5-4B3C39EC3500_1_105_c.jpeg,GPS Coordinates,40.946688888888886,-4.116972222222222,2021:06:19 21:38:16
2A7B1F95-31D6-4EF7-A847-5A803C6CD5C8_1_105_c.jpeg,GPS Coordinates,36.7217,-4.417580555555556,2022:01:15 16:26:41
7BEE5FE7-2D64-40C8-AB41-A03F6B4F50CF_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
5FCE5653-D953-48E1-8B9B-A24AAC2E436F.heic,GPS Coordinates,43.09812222222222,0.050805555555555555,2020:08:16 09:17:31+02:00
4ACAE3D5-C391-4CFA-AA91-26D4838D6D61.heic,GPS Coordinates,41.39303888888889,2.1820444444444442,2023:01:22 14:10:00+01:00
2E7B7AE4-5F74-49F1-B130-1A58F49810B8_1_105_c.jpeg,GPS Coordinates,41.36976111111111,2.1719416666666667,2020:12:08 13:21:47
00B9625A-C82B-474B-90B9-B42EE19279E9_1_105_c.jpeg,GPS Coordinates,40.9528,-4.132255555555555,2021:06:20 11:33:10
0DC6FD2D-0FA9-4C80-8BC4-11030E8C09C9.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
13FB0E22-962A-476B-9164-853CE7073E67.heic,GPS Coordinates,43.238102777777776,4.745652777777778,2020:09:10 18:01:30+02:00
9EB44633-D9D0-4FC4-BCBC-FB84AD44234F_1_105_c.jpeg,GPS Coordinates,44.199413888888884,3.588811111111111,2022:04:14 11:06:30
0F8A43A6-3259-4D2A-8EC0-8C96009BB64A.heic,GPS Coordinates,42.48514166666667,1.9465805555555555,2023:05:27 14:44:02+02:00
0C770E38-26B2-4944-8059-BB9B67969289_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
4A217473-8B16-4C48-91E3-B52D4F7B8403.heic,GPS Coordinates,42.188694444444444,1.336175,2021:05:08 13:21:56+02:00
1DD12E1A-CBE0-45C1-A058-9BCAEB7C0988.heic,GPS Coordinates,41.994625,1.5171999999999999,2021:05:08 18:15:11+02:00
7FEC5ECB-4325-4958-ABCA-E93DC8438349_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
8BA4AFC0-20CA-4461-B1B7-7FE486213D8A_1_105_c.jpeg,GPS Coordinates,42.92950555555555,-8.154491666666667,2021:08:29 15:23:48
4C86E067-6A4F-4F1D-A360-A25E4128502C_1_105_c.jpeg,GPS Coordinates,52.24941666666667,21.012275,2022:12:26 19:48:22
31F34118-B4F0-44FF-917D-03E15654A863_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
0D53CFF9-BF57-4509-87C6-6877140A11AF_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
34A1C15A-B110-4E9A-A669-0CC9E1D6D90D_1_105_c.jpeg,GPS Coordinates,51.215588888888895,3.2153750000000003,2023:08:06 22:01:30
1B68D327-9687-4809-96E2-010C1188DFB9_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
4AB166AD-C068-468B-85BE-FE6E04DB769F.heic,GPS Coordinates,42.49746388888889,0.14398333333333332,2020:08:16 19:22:27+02:00
9C1D36CB-CB74-431D-AF5A-E2BE7620B639_1_105_c.jpeg,GPS Coordinates,42.51618611111111,-8.815183333333334,2021:06:23 13:34:20
30F1F39E-A5B6-41DE-BC64-BBC16FE1267F_1_105_c.jpeg,GPS Coordinates,52.371972222222226,4.90053888888889,2023:08:10 23:38:02
8F866B8D-D196-4623-AE78-4E7C6542AD64_1_105_c.jpeg,GPS Coordinates,48.87376666666667,2.296275,2023:08:05 17:04:24
4C46C8F8-3774-42D4-A36B-219EEA00573C_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
8B71EE0B-B23A-4F88-B110-18A9621C1912_1_105_c.jpeg,GPS Coordinates,42.49166944444445,-8.857977777777778,2021:06:22 22:55:28
20B1690F-E290-43F9-B8BB-F4C682AA1E66_1_105_c.jpeg,GPS Coordinates,41.60165833333333,1.5453138888888889,2023:07:15 16:27:30
2BB0B80D-CB29-46F0-A9C2-A991C1445683_1_105_c.jpeg,GPS Coordinates,51.205108333333335,3.2229222222222225,2023:08:07 16:55:47
1C2D46EA-5A18-4A3E-9D32-52B6E0879283_1_105_c.jpeg,GPS Coordinates,52.24169166666667,21.015966666666667,2022:12:26 21:16:31
1CB4CAD3-5402-490E-8DFE-D7D0FA4B3FF0_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
7CC2421F-6AA0-41A1-AD78-99EC595BCDAF_1_105_c.jpeg,GPS Coordinates,42.523919444444445,-8.73918611111111,2021:06:24 20:13:53
31DF71B2-3BCD-451E-B735-2AD6430465CA_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
23CA8A66-15FF-410E-B0FD-1F96D93D779C_1_105_c.jpeg,GPS Coordinates,41.050669444444445,-0.13224722222222224,2020:10:11 19:49:53
5BFAF97A-3C0C-4762-B81B-1DBD1550E9B2.heic,GPS Coordinates,43.12609444444445,0.20725833333333335,2020:08:15 17:53:45+02:00
2A4AB48A-3967-4B67-BC66-C19A94A95952_1_105_c.jpeg,GPS Coordinates,41.337608333333336,1.578575,2021:10:24 14:40:58
3C7991E4-268E-49A0-B90F-3BEA3707D5F0_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
2CB04C2A-13EB-4C26-A35A-1BE5EE309722_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
15ABB77B-798D-4D6F-81BB-C96268615EB5_1_105_c.jpeg,GPS Coordinates,43.553149999999995,-6.995466666666667,2021:06:25 16:44:13
6F0BFAC9-8718-4C7F-A683-BF4F7E4B8997_1_105_c.jpeg,GPS Coordinates,42.48915,-8.883125,2021:06:24 16:52:56
3E09730E-734E-449B-99B9-4B3CEF1933DE_1_105_c.jpeg,GPS Coordinates,50.63609722222222,3.063222222222222,2023:08:13 00:14:47
3D43BD27-AC8D-4007-B6EE-4B9F4DDA4327_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
5EC5B314-C9DA-495B-BC7A-3C7CD7F2FA1D_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
2B01E756-A753-4C60-9598-9EA7C45AA1C4_1_105_c.jpeg,GPS Coordinates,42.01551388888889,2.473352777777778,2020:08:08 11:33:50
2C894234-C5F0-4537-AB85-F12221B2FE43.heic,GPS Coordinates,42.18867777777778,1.3361805555555555,2020:10:24 13:12:07+02:00
7FC063F5-ABE4-424E-91A7-C3FF835FC941_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
2FDC9A32-C608-459E-8C0A-32C60C6D57CA_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
8EA7759F-A63C-4F11-B524-00E0C8E15B36_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
